rhythmic,total,positive,negative,neutral,top_keywords,avg_score,sentiment_tendency,common_themes
临江仙,480,219,185,76,"[('愁', 22), ('恨', 14), ('风流', 12), ('笑', 11), ('春风', 10)]",0.7506250000000001,积极,"[('情感复杂', 21), ('情感平和', 14), ('情感愉悦', 14), ('情感低沉', 6), ('描绘春日美景', 6)]"
减字木兰花,424,208,160,56,"[('喜', 20), ('愁', 18), ('恨', 13), ('寿', 13), ('祝寿', 13)]",0.7582547169811321,积极,"[('情感愉悦', 15), ('情感复杂', 12), ('情感平和', 8), ('描绘美景', 6), ('词中多愁善感', 4)]"
南乡子,203,73,102,27,"[('愁', 24), ('相思', 6), ('休休', 6), ('凄凉', 4), ('断肠', 4)]",0.7487684729064039,积极,"[('情感平和', 7), ('情感复杂', 7), ('情感愉悦', 5), ('词中多愁绪与无奈', 4), ('描述修炼过程', 3)]"
南歌子,200,84,80,36,"[('愁', 7), ('恨', 6), ('凄凉', 5), ('风流', 5), ('断肠', 4)]",0.7380000000000001,积极,"[('情感平和', 9), ('情感复杂', 5), ('描绘欢乐场景', 5), ('情感愉悦', 4), ('情感积极', 3)]"
卜算子,240,61,144,35,"[('愁', 26), ('冷', 13), ('相思', 9), ('寂寞', 9), ('恨', 8)]",0.7437500000000001,积极,"[('情感平和', 9), ('情感复杂', 4), ('描绘自然美景', 3), ('情感消极', 3), ('情感愉悦', 3)]"
失调名,370,117,164,86,"[('愁', 11), ('好', 6), ('茱萸', 5), ('冷', 4), ('恨', 4)]",0.6956756756756756,积极,"[('情感平和', 28), ('情感愉悦', 11), ('情感积极', 9), ('无明显情感倾向', 7), ('描绘美好景象', 6)]"
好事近,296,153,99,44,"[('春色', 13), ('愁', 10), ('醉', 6), ('恨', 5), ('愁绝', 5)]",0.7479729729729729,积极,"[('情感愉悦', 23), ('情感平和', 12), ('情感复杂', 6), ('描绘春日美景', 6), ('描绘自然美景', 5)]"
念奴娇,432,192,181,59,"[('恨', 15), ('愁', 14), ('憔悴', 12), ('风流', 11), ('凄凉', 9)]",0.7525462962962963,积极,"[('情感复杂', 20), ('情感积极', 7), ('情感愉悦', 6), ('情感平和', 6), ('赞美与祝福的情感', 6)]"
望江南・忆江南,183,87,66,29,"[('好', 13), ('苦', 5), ('愁', 4), ('乐', 4), ('喜', 3)]",0.7568306010928963,积极,"[('情感平和', 14), ('描述修炼过程', 5), ('情感愉悦', 5), ('情感积极', 5), ('期待落空', 2)]"
朝中措,259,139,84,36,"[('春风', 7), ('风流', 7), ('醉', 5), ('清风', 5), ('凄凉', 5)]",0.7552123552123553,积极,"[('情感平和', 11), ('情感复杂', 10), ('情感愉悦', 7), ('描绘自然景色', 4), ('词中充满喜庆与赞美', 4)]"
柳梢青,188,76,90,22,"[('相思', 7), ('风流', 5), ('愁', 4), ('凄凉', 4), ('恨', 4)]",0.7574468085106383,积极,"[('情感愉悦', 8), ('词中透露出孤独与无奈', 4), ('情感低沉', 4), ('情感复杂', 4), ('描绘美景', 4)]"
水调歌头,741,406,188,147,"[('愁', 29), ('笑', 16), ('恨', 15), ('风流', 13), ('一笑', 13)]",0.7483130904183536,积极,"[('情感复杂', 68), ('情感平和', 17), ('情感积极', 8), ('词中充满赞美与祝福', 8), ('词中充满喜庆与赞美', 7)]"
水龙吟,295,114,148,33,"[('恨', 13), ('愁', 10), ('憔悴', 9), ('相思', 9), ('凄凉', 9)]",0.7647457627118645,积极,"[('情感复杂', 12), ('词中多凄凉', 10), ('词中充满赞美与祝福', 5), ('情感低沉', 4), ('词中多愁善感', 3)]"
沁园春,423,225,139,59,"[('叹', 13), ('笑', 13), ('愁', 13), ('喜', 11), ('凄凉', 11)]",0.7737588652482271,积极,"[('情感复杂', 26), ('情感平和', 5), ('词中充满赞美与祝福', 5), ('词中多凄凉', 5), ('超脱世俗', 4)]"
浣溪沙,775,332,290,153,"[('愁', 39), ('风流', 15), ('恨', 14), ('凄凉', 11), ('醉', 9)]",0.7258064516129032,积极,"[('情感复杂', 35), ('情感愉悦', 35), ('情感平和', 31), ('描绘春日美景', 13), ('情感积极', 13)]"
